139.34144.4144.08143.52144.9144.26144.83144.97144.37143.84143.98145.34146.28146.74147.02148.93150.07150.88150.31149.4150.07150151.36152.33152.1151.81147.49150.14150.05150.99151.07151.29151.54151.65153.111155.11155.45154.3154157.35158.12157.48157.551159.45158.986156.77158.78158.32157.08159.32158.93161.835162.824161.76163.39162.62164.35167.42166.68167.4166.19167.51161.15163.78167.84174.05172.21170.43177.14184.03180.97182.845183.58190.65185.58183.08183.25185.605188.06186.95183.17167.77174.2169.71163.32152.41165.31173.8168.485166.045162.61151158.16157.13145.3147.5140140138142.77139.34
144.4
144.08
143.52
144.9
144.26
144.83
144.97
144.37
143.84
143.98
145.34
146.28
146.74
147.02
148.93
150.07
150.88
150.31
149.4
150.07
150
151.36
152.33
152.1
151.81
147.49
150.14
150.05
150.99
151.07
151.29
151.54
151.65
153.111
155.11
155.45
154.3
154
157.35
158.12
157.48
157.551
159.45
158.986
156.77
158.78
158.32
157.08
159.32
158.93
161.835
162.824
161.76
163.39
162.62
164.35
167.42
166.68
167.4
166.19
167.51
161.15
163.78
167.84
174.05
172.21
170.43
177.14
184.03
180.97
182.845
183.58
190.65
185.58
183.08
183.25
185.605
188.06
186.95
183.17
167.77
174.2
169.71
163.32
152.41
165.31
173.8
168.485
166.045
162.61
151
158.16
157.13
145.3
147.5
140
140
138
142.77
